Date,Price
2020-03-23,0.622
2020-03-24,0.668
2020-03-25,0.703
2020-03-26,0.694
2020-03-27,0.705
2020-03-30,0.667
2020-03-31,0.681
2020-04-01,0.677
2020-04-02,0.69
2020-04-03,0.705
2020-04-07,0.744
2020-04-08,0.733
2020-04-09,0.736
2020-04-10,0.741
2020-04-13,0.735
2020-04-14,0.749
2020-04-15,0.739
2020-04-16,0.753
2020-04-17,0.74
2020-04-20,0.729
2020-04-21,0.732
2020-04-22,0.705
2020-04-23,0.734
2020-04-24,0.736
2020-04-27,0.731
2020-04-28,0.716
2020-04-29,0.725
2020-04-30,0.734
2020-05-06,0.73
2020-05-07,0.724
2020-05-08,0.749
2020-05-11,0.75
2020-05-12,0.744
2020-05-13,0.749
2020-05-14,0.75
2020-05-15,0.778
2020-05-18,0.824
2020-05-19,0.804
2020-05-20,0.831
2020-05-21,0.812
2020-05-22,0.799
2020-05-25,0.806
2020-05-26,0.826
2020-05-27,0.818
2020-05-28,0.83
2020-05-29,0.832
2020-06-01,0.869
2020-06-02,0.866
2020-06-03,0.847
2020-06-04,0.828
2020-06-05,0.832
2020-06-08,0.83
2020-06-09,0.825
2020-06-10,0.832
2020-06-11,0.837
2020-06-12,0.825
2020-06-15,0.809
2020-06-16,0.811
2020-06-17,0.816
2020-06-18,0.815
2020-06-19,0.819
2020-06-22,0.836
2020-06-23,0.825
2020-06-24,0.831
2020-06-29,0.83
2020-06-30,0.829
2020-07-01,0.846
2020-07-02,0.833
2020-07-03,0.836
2020-07-06,0.837
2020-07-07,0.843
2020-07-08,0.847
2020-07-09,0.865
2020-07-10,0.854
2020-07-13,0.871
2020-07-14,0.872
2020-07-15,0.877
2020-07-16,0.873
2020-07-17,0.866
2020-07-20,0.876
2020-07-21,0.921
2020-07-22,1.011
2020-07-23,0.994
2020-07-24,0.987
2020-07-27,1.042
2020-07-28,1.06
2020-07-29,1.056
2020-07-30,1.026
2020-07-31,1.057
2020-08-03,1.046
2020-08-04,1.046
2020-08-05,1.136
2020-08-06,1.178
2020-08-07,1.204
2020-08-10,1.204
2020-08-11,1.189
2020-08-12,1.086
2020-08-13,1.089
2020-08-14,1.12
2020-08-17,1.186
2020-08-18,1.192
2020-08-19,1.13
2020-08-20,1.088
2020-08-21,1.08
2020-08-24,1.041
2020-08-25,1.042
2020-08-26,1.034
2020-08-27,1.073
2020-08-28,1.075
2020-08-31,1.093
2020-09-01,1.12
2020-09-02,1.098
2020-09-03,1.058
2020-09-04,1.047
2020-09-07,1.052
2020-09-08,1.058
2020-09-09,1.041
2020-09-10,1.054
2020-09-11,1.046
2020-09-14,1.042
2020-09-15,1.053
2020-09-16,1.051
2020-09-17,1.028
2020-09-18,1.043
2020-09-21,1.022
2020-09-22,0.935
2020-09-23,0.909
2020-09-24,0.884
2020-09-25,0.905
2020-09-28,0.892
2020-09-29,0.888
2020-09-30,0.896
2020-10-09,0.901
2020-10-12,0.946
2020-10-13,0.935
2020-10-14,0.906
2020-10-15,0.904
2020-10-16,0.902
2020-10-19,0.92
2020-10-20,0.912
2020-10-21,0.926
2020-10-22,0.925
2020-10-23,0.914
2020-10-26,0.895
2020-10-27,0.912
2020-10-28,0.915
2020-10-29,0.873
2020-10-30,0.867
2020-11-02,0.893
2020-11-03,0.902
2020-11-04,0.888
